,Equally Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.9323411766319257,0.0980463255337949,-0.6707589092204302,0.10271619593006062,0.06815117975135035,0.7649855310372798,-0.5856280023759428,0.72927370685857,0.4968933747119345,-0.8083008457943572,1.0,0.8584185481247166,0.9680597482028639,0.48123050119777383,0.6693090482530445,0.7201409317090142,0.9841833739171877,0.9809656331568228,0.8656285784420833,0.527432628032049,-0.13421300638630662,-0.18665565302359433,0.35287513802926573,-0.053193158282573566
M1,0.9114645152779578,-0.16051257013952128,-0.7023181292108229,-0.08071685028312893,-0.10311849987402404,0.4145423866571364,-0.21798247353677086,0.7388482625256573,0.10202849432879561,-0.9014005043598988,0.8584185481247166,1.0,0.9209820508145915,0.13317931244819736,0.5749292924861721,0.6620093892951322,0.8857556287501377,0.8868902554142384,0.7314332248316372,0.720581309669237,-0.028012887504066334,-0.09407849294160109,0.3926361433382934,0.02822867277389675
M2,0.9771375868844341,0.08325905269600703,-0.7216394605984487,-0.07608037416894452,-0.11816239146287075,0.6913575942906202,-0.490971709596081,0.6635864602291877,0.341119700800501,-0.8374998038280375,0.9680597482028639,0.9209820508145915,1.0,0.35807211335573563,0.558664323960823,0.812534401725622,0.9806547368329035,0.9698854102444403,0.9001525460426442,0.5772992487973572,-0.24045393661843953,-0.29765674262938197,0.24818178395974275,-0.16916659797817524
Industrial Production: Total Index,0.33788684468448976,0.6739591102915558,0.1428132805465026,0.12161138296347625,0.14445612341575284,0.7843418951713592,-0.8802870635665367,0.20969607994270162,0.5162006762196503,-0.1554408092315853,0.48123050119777383,0.13317931244819736,0.35807211335573563,1.0,0.6367603994206543,0.3097901474121026,0.4166706131825643,0.3740416575661833,0.5564107215826412,-0.1446349175037972,0.008623549633951759,-0.011523792794271471,0.1463638263286204,0.05259532608104585
US_Manufacturing_PMI,0.5561160831821771,0.04942315479823447,-0.17914277605817225,0.24208548064665636,0.2988592834191357,0.4903588635648657,-0.4977915726905357,0.771529399880275,0.29056694332526456,-0.6171312628650978,0.6693090482530445,0.5749292924861721,0.558664323960823,0.6367603994206543,1.0,0.17371111724350846,0.6101585704547025,0.6017803260923478,0.48311721691653503,0.4203100349191903,0.5109565172240584,0.4712983493282544,0.6388386489431389,0.5656071044129154
New One Family Houses Sold,0.7990867312522988,0.3747644815738245,-0.54777130172722,-0.3391394650160763,-0.41626126728578594,0.6548405807438942,-0.4626230857052595,0.20941643411221586,0.2854341443500114,-0.5197395167579233,0.7201409317090142,0.6620093892951322,0.812534401725622,0.3097901474121026,0.17371111724350846,1.0,0.7425304879519892,0.7122832582125359,0.8740908824981719,0.37135240432294847,-0.557844419708961,-0.5912991718406958,-0.21084135195095569,-0.5150587168726715
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.9574002591405111,0.060394778098745404,-0.7288002390836144,0.08166636287289764,0.03964062066202641,0.7491476492489542,-0.5641611120263618,0.7238614759654737,0.4421554965457042,-0.8392896782459984,0.9841833739171877,0.8857556287501377,0.9806547368329035,0.4166706131825643,0.6101585704547025,0.7425304879519892,1.0,0.9946693790692206,0.8764373133287213,0.49612502235156297,-0.18729298872528652,-0.2569193665559072,0.35386005828904715,-0.11975333951402616
All-Transactions House Price Index for the United States,0.9467350117111025,-0.0006018424637854496,-0.7595903525177795,0.13117018233861746,0.08251794216316168,0.7254809846507276,-0.5291232397749963,0.7519335090037949,0.46926290778336033,-0.8471774943349422,0.9809656331568228,0.8868902554142384,0.9698854102444403,0.3740416575661833,0.6017803260923478,0.7122832582125359,0.9946693790692206,1.0,0.8398153229795545,0.523694036760785,-0.1658216320959315,-0.23293466725313342,0.3817850724513902,-0.0993034730706388
New Privately-Owned Housing Units Started: Total Units,0.8824696923131443,0.41230329567875074,-0.49399106851894614,-0.22334585280965252,-0.26020961918140045,0.8191096893432454,-0.6877136352962713,0.423597385967801,0.3320924419783533,-0.6352532687038074,0.8656285784420833,0.7314332248316372,0.9001525460426442,0.5564107215826412,0.48311721691653503,0.8740908824981719,0.8764373133287213,0.8398153229795545,1.0,0.35588185123435684,-0.37647542042200727,-0.4312279715696346,0.032414568562799236,-0.3084000372239009
GC=F,0.5983416237706095,-0.40129967520336907,-0.5295304020976178,-0.241302066415819,-0.26355166533572166,0.038224828223692,0.15811482150538703,0.6013496860127662,-0.08530054999712834,-0.6934404719385445,0.527432628032049,0.720581309669237,0.5772992487973572,-0.1446349175037972,0.4203100349191903,0.37135240432294847,0.49612502235156297,0.523694036760785,0.35588185123435684,1.0,0.23060224006174584,0.2548849031727592,0.23069117057958138,0.2878458300894776
