Date,GC=F,CL=F,BZ=F,NG=F,RB=F
2010-04-16,1136.300048828125,83.23999786376953,85.98999786376953,4.039000034332275,2.2769999504089355
2010-04-17,1136.300048828125,83.23999786376953,85.98999786376953,4.039000034332275,2.2769999504089355
2010-04-18,1136.300048828125,83.23999786376953,85.98999786376953,4.039000034332275,2.2769999504089355
2010-04-19,1135.199951171875,81.44999694824219,84.2300033569336,3.944000005722046,2.2544000148773193
2010-04-20,1138.5999755859375,83.44999694824219,84.80000305175781,3.9749999046325684,2.280900001525879
2010-04-21,1148.199951171875,83.68000030517578,85.69999694824219,3.9549999237060547,2.2827000617980957
2010-04-22,1142.300048828125,83.69999694824219,85.66999816894531,4.127999782562256,2.3001999855041504
2010-04-23,1153.0999755859375,85.12000274658203,87.25,4.256999969482422,2.353100061416626
2010-04-24,1153.0999755859375,85.12000274658203,87.25,4.256999969482422,2.353100061416626
2010-04-25,1153.0999755859375,85.12000274658203,87.25,4.256999969482422,2.353100061416626
2010-04-26,1153.5,84.19999694824219,86.83000183105469,4.26200008392334,2.34089994430542
2010-04-27,1161.699951171875,82.44000244140625,85.77999877929688,4.216000080108643,2.3268001079559326
2010-04-28,1171.300048828125,83.22000122070312,86.16000366210938,4.270999908447266,2.33270001411438
2010-04-29,1168.4000244140625,85.16999816894531,86.9000015258789,3.9800000190734863,2.355600118637085
2010-04-30,1180.0999755859375,86.1500015258789,87.44000244140625,3.9200000762939453,2.3963000774383545
2010-05-01,1180.0999755859375,86.1500015258789,87.44000244140625,3.9200000762939453,2.3963000774383545
2010-05-02,1180.0999755859375,86.1500015258789,87.44000244140625,3.9200000762939453,2.3963000774383545
2010-05-03,1182.699951171875,86.19000244140625,88.94000244140625,4.0,2.4351000785827637
2010-05-04,1168.5999755859375,82.73999786376953,88.94000244140625,4.013000011444092,2.322200059890747
2010-05-05,1174.5999755859375,79.97000122070312,82.61000061035156,3.990999937057495,2.220400094985962
2010-05-06,1196.9000244140625,77.11000061035156,79.83000183105469,3.928999900817871,2.1563000679016113
2010-05-07,1210.0,75.11000061035156,78.2699966430664,4.014999866485596,2.1250998973846436
2010-05-08,1210.0,75.11000061035156,78.2699966430664,4.014999866485596,2.1250998973846436
