,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^SP500-45,^SP500-45,^SP500-45,^SP500-45,^SP500-45
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
17/05/2021,4153.2246500651045,4170.822005208333,4135.504972330729,4155.975366210938,4110518666.6666665,2450.677001953125,2467.296346028646,2428.3539794921876,2448.7126708984374,420185210.0
18/05/2021,4156.236979166667,4173.586002604166,4137.433317057292,4157.771704101562,4121081333.3333335,2448.7126708984374,2465.55634765625,2426.258642578125,2446.4126708984377,418424540.0
19/05/2021,4157.042317708333,4174.712679036458,4137.203312174479,4158.962711588541,4125302666.6666665,2446.4126708984377,2462.9823486328123,2422.9703125,2443.937003580729,422159436.6666667
20/05/2021,4158.1096598307295,4177.199674479167,4138.517651367188,4161.027718098959,4127695333.3333335,2443.937003580729,2461.1000162760415,2420.4946451822916,2441.777001953125,423584953.3333333
21/05/2021,4160.5263264973955,4179.174348958333,4140.391324869792,4161.929720052083,4139524000.0,2441.777001953125,2458.604345703125,2418.276643880208,2438.3836669921875,423839583.3333333
24/05/2021,4162.041333007813,4181.766357421875,4142.236002604167,4164.231705729167,4142720666.6666665,2438.3836669921875,2456.904012044271,2415.6939778645833,2436.7933349609375,420144150.0
25/05/2021,4164.569327799479,4183.947021484375,4144.172330729167,4165.783040364583,4157638333.3333335,2436.7933349609375,2454.9976806640625,2413.9623128255207,2434.4626627604166,419473066.6666667
26/05/2021,4166.236319986979,4185.644352213541,4146.280322265625,4168.160709635416,4172156333.3333335,2434.4626627604166,2452.980013020833,2412.4253092447916,2433.077001953125,417552010.0
27/05/2021,4168.308992513021,4186.974007161459,4148.214322916667,4169.176041666667,4251252666.6666665,2433.077001953125,2450.3213460286456,2410.6113118489584,2429.7926676432294,421343563.3333333
28/05/2021,4169.5299886067705,4187.875667317709,4149.308317057292,4169.79736328125,4267433666.6666665,2429.7926676432294,2447.640348307292,2407.6956461588543,2426.779996744792,420553200.0
01/06/2021,4170.753995768229,4189.652669270833,4150.878971354166,4171.0900390625,4309579666.666667,2426.779996744792,2445.105013020833,2405.374650065104,2424.162662760417,418776940.0
02/06/2021,4172.341984049479,4191.592333984375,4153.541975911458,4173.529378255208,4359280333.333333,2424.162662760417,2443.116015625,2403.9003173828123,2422.7443277994794,417822473.3333333
03/06/2021,4174.442325846354,4192.571337890625,4154.927978515625,4174.17705078125,4415971000.0,2422.7443277994794,2440.8360107421877,2401.64365234375,2419.7409912109374,417295746.6666667
04/06/2021,4175.628653971354,4194.367350260417,4157.673307291667,4177.34072265625,4412459333.333333,2419.7409912109374,2439.290006510417,2399.9893147786456,2419.25732421875,413825820.0
